epoch,train_total,train_recon,val_mae,val_rmse,grad_norm_mean,grad_norm_max,per_coeff_mae_mean,per_coeff_mae_max,gaussian_coverage
74,0.5594055164944042,0.5594055164944042,1.1018700301647186,2.4706634283065796,,,1.2281425,1.5155799,
75,0.5574277991598303,0.5574277991598303,1.0998743176460266,2.4625315070152283,,,1.2261047,1.5001214,
76,0.554549284956672,0.554549284956672,1.09340900182724,2.450880229473114,,,1.2160662,1.491454,
77,0.5558267913081429,0.5558267913081429,1.0880600810050964,2.4382246136665344,,,1.2092791,1.4803653,
78,0.5477702617645264,0.5477702617645264,1.0835421681404114,2.4302860498428345,,,1.2026753,1.4635931,
79,0.5448360090905969,0.5448360090905969,1.083353728055954,2.425182580947876,,,1.201506,1.4599507,
80,0.5453519116748463,0.5453519116748463,1.0772775411605835,2.4195362329483032,,,1.1942061,1.4508605,
81,0.5406896824186499,0.5406896824186499,1.0685157179832458,2.402542293071747,,,1.1825079,1.4335511,
82,0.5345971936529333,0.5345971936529333,1.0657292902469635,2.385490298271179,,,1.1811808,1.4212643,
83,0.5377487404779955,0.5377487404779955,1.058898240327835,2.3777278065681458,,,1.1715295,1.4195273,
84,0.5320680276914076,0.5320680276914076,1.058820515871048,2.3736482858657837,,,1.173063,1.4265138,
85,0.5302493030374701,0.5302493030374701,1.0510488152503967,2.3593464493751526,,,1.1632957,1.4110467,
86,0.5274413200941953,0.5274413200941953,1.0476438403129578,2.352792501449585,,,1.1588755,1.401676,
87,0.5246458487077192,0.5246458487077192,1.0448033213615417,2.3469563126564026,,,1.15633,1.4004152,
88,0.5188845314762809,0.5188845314762809,1.0374538600444794,2.331245481967926,,,1.1463633,1.3778584,
89,0.5178212875669653,0.5178212875669653,1.0356728434562683,2.3259835243225098,,,1.1423792,1.370653,
90,0.5204465064135465,0.5204465064135465,1.0366790890693665,2.3316964507102966,,,1.1410011,1.3682113,
91,0.5154253379865126,0.5154253379865126,1.0271873474121094,2.3048961758613586,,,1.1335734,1.3653721,
92,0.514980749650435,0.514980749650435,1.0251095294952393,2.3053297996520996,,,1.1311361,1.3567622,
93,0.5134120448069139,0.5134120448069139,1.0269777178764343,2.3054953813552856,,,1.1310195,1.3511629,
94,0.5124518979679454,0.5124518979679454,1.0224262177944183,2.293287992477417,,,1.1285727,1.3589664,
95,0.5106257633729414,0.5106257633729414,1.0222704410552979,2.294603168964386,,,1.1251132,1.3488387,
96,0.5139385895295576,0.5139385895295576,1.0140816867351532,2.2707480788230896,,,1.1199106,1.3455763,
97,0.5047067972746763,0.5047067972746763,1.0113038122653961,2.2660040259361267,,,1.1150503,1.3367772,
98,0.5044180967591025,0.5044180967591025,1.0168515741825104,2.2736517190933228,,,1.1212624,1.3579521,
99,0.5016519075090234,0.5016519075090234,1.0061682760715485,2.255754232406616,,,1.1100149,1.3348597,
100,0.5024434030056,0.5024434030056,1.0072498619556427,2.2633790373802185,0.10661161011026131,0.15880982553602693,1.1078199,1.3335409,100.0
101,0.4965973984111439,0.4965973984111439,1.0042761862277985,2.243002474308014,,,1.1098572,1.347529,
102,0.4998032233931802,0.4998032233931802,0.9989253878593445,2.2379173636436462,,,1.101874,1.3278573,
103,0.4975489377975464,0.4975489377975464,1.0023170709609985,2.2437747716903687,,,1.1042861,1.3339174,
104,0.49520619078115985,0.49520619078115985,0.9900555610656738,2.218196153640747,,,1.0917974,1.3156636,
105,0.4911730099808086,0.4911730099808086,0.9951113164424896,2.2247120141983032,,,1.0989528,1.3396024,
106,0.5022500617937609,0.5022500617937609,0.9914865791797638,2.220306396484375,,,1.0906578,1.3090042,
