epoch,train_total,train_recon,val_mae,val_rmse,grad_norm_mean,grad_norm_max,per_coeff_mae_mean,per_coeff_mae_max,gaussian_coverage
1,1.1648440686139194,1.1648440686139194,2.434076428413391,4.086983323097229,0.0018585839615254081,0.003076291653619764,2.616123,5.6032834,100.0
2,1.1648645184256814,1.1648645184256814,2.430398464202881,4.083722949028015,,,2.6125052,5.5974407,
3,1.1634293090213428,1.1634293090213428,2.423383593559265,4.077513933181763,,,2.6056187,5.5861793,
4,1.1595838124101812,1.1595838124101812,2.4123215675354004,4.067633748054504,,,2.5947528,5.568127,
5,1.1414834423498674,1.1414834423498674,2.3969779014587402,4.053695321083069,,,2.5796642,5.5425096,
6,1.1425256349823691,1.1425256349823691,2.3775554895401,4.035663962364197,,,2.5605376,5.5089755,
7,1.1276144276965747,1.1276144276965747,2.3542314171791077,4.013352870941162,,,2.537643,5.4672885,
8,1.1219418915835293,1.1219418915835293,2.3276880979537964,3.9871256351470947,,,2.5115511,5.417777,
9,1.0974250110712918,1.0974250110712918,2.298760950565338,3.957220196723938,,,2.4829822,5.360033,
10,1.08573748848655,1.08573748848655,2.268009603023529,3.9238498210906982,,,2.4526463,5.294896,
11,1.0747741352428088,1.0747741352428088,2.2365735173225403,3.8889074325561523,,,2.4213328,5.223233,
12,1.0587332411245867,1.0587332411245867,2.203906536102295,3.8517396450042725,,,2.388498,5.1451235,
13,1.0433100245215676,1.0433100245215676,2.170554459095001,3.8131628036499023,,,2.355444,5.062384,
14,1.0298266356641597,1.0298266356641597,2.1380768418312073,3.7757238149642944,,,2.3226278,4.979595,
15,1.015927336432717,1.015927336432717,2.1055058240890503,3.7377148866653442,,,2.290296,4.8984737,
16,1.003516674041748,1.003516674041748,2.0750338435173035,3.70146644115448,,,2.259559,4.8183208,
17,0.9941704002293673,0.9941704002293673,2.043689250946045,3.6642463207244873,,,2.2281563,4.7345676,
18,0.9815899187868292,0.9815899187868292,2.0109196305274963,3.6257859468460083,,,2.1958978,4.648315,
19,0.9710926250977949,0.9710926250977949,1.978334903717041,3.5880647897720337,,,2.1630325,4.5577974,
20,0.9579253792762756,0.9579253792762756,1.9461140632629395,3.5499576330184937,,,2.1311011,4.4680924,
21,0.9484404271299188,0.9484404271299188,1.9146361947059631,3.5130809545516968,,,2.0994608,4.3737674,
22,0.9391265728256919,0.9391265728256919,1.8825286030769348,3.4757410287857056,,,2.0673828,4.27468,
23,0.9310203953222795,0.9310203953222795,1.8518646359443665,3.44045627117157,,,2.0368803,4.174252,
24,0.9175416935573925,0.9175416935573925,1.821281909942627,3.404112219810486,,,2.0064654,4.0703273,
25,0.9104459881782532,0.9104459881782532,1.7900341749191284,3.366251230239868,,,1.9750204,3.963093,
26,0.8995787013660778,0.8995787013660778,1.7614074349403381,3.334031581878662,,,1.9455879,3.8604214,
27,0.88689955256202,0.88689955256202,1.7345390319824219,3.3030201196670532,,,1.9184387,3.7579644,
28,0.881972768089988,0.881972768089988,1.7055858969688416,3.270764112472534,,,1.8893548,3.654377,
29,0.8752914883873679,0.8752914883873679,1.6777098178863525,3.243006467819214,,,1.8608842,3.5506418,
30,0.8663479577411305,0.8663479577411305,1.6496690511703491,3.2091065049171448,,,1.8336022,3.451255,
31,0.853538919578899,0.853538919578899,1.6249800324440002,3.185084581375122,,,1.808276,3.3551085,
32,0.8424488360231573,0.8424488360231573,1.6005796790122986,3.1573548913002014,,,1.7831568,3.2628644,
33,0.8347812999378551,0.8347812999378551,1.5764341950416565,3.126789629459381,,,1.7585152,3.170429,
34,0.8256971781904047,0.8256971781904047,1.5522032976150513,3.100261390209198,,,1.7340913,3.0835652,
35,0.8164709264581854,0.8164709264581854,1.5314089059829712,3.0783305764198303,,,1.7123433,2.99436,
36,0.8130761764266274,0.8130761764266274,1.5110939145088196,3.056400418281555,,,1.6915346,2.9155312,
37,0.8018646077676252,0.8018646077676252,1.4873090982437134,3.0329949259757996,,,1.6662477,2.8318837,
38,0.7886515530672941,0.7886515530672941,1.469038486480713,3.010379195213318,,,1.6472036,2.7505848,
39,0.7829752510244196,0.7829752510244196,1.45074063539505,2.99097341299057,,,1.6258565,2.6752815,
40,0.7737676447088068,0.7737676447088068,1.4317908883094788,2.9720329642295837,,,1.6058635,2.596924,
41,0.7669457251375372,0.7669457251375372,1.4170591235160828,2.9597320556640625,,,1.5889283,2.5329952,
42,0.7536748810247942,0.7536748810247942,1.4016429781913757,2.94247168302536,,,1.5723222,2.4713833,
43,0.7453087351538918,0.7453087351538918,1.3839697241783142,2.9192985892295837,,,1.554257,2.412214,
44,0.7337630662051114,0.7337630662051114,1.3716015219688416,2.9100732803344727,,,1.5396652,2.361069,
45,0.7308416745879434,0.7308416745879434,1.3559897541999817,2.8899006247520447,,,1.5248967,2.3097336,
46,0.7234562960537997,0.7234562960537997,1.3442691564559937,2.8778424859046936,,,1.5115503,2.254942,
47,0.7093677520751953,0.7093677520751953,1.3302545547485352,2.861686408519745,,,1.4958315,2.2043638,
48,0.703194715759971,0.703194715759971,1.31659135222435,2.8458593487739563,,,1.4808594,2.1572635,
49,0.6936662251299078,0.6936662251299078,1.3047491014003754,2.8303486704826355,,,1.4692569,2.1153836,
50,0.6902960593050177,0.6902960593050177,1.2935784757137299,2.8163320422172546,0.04624034938809245,0.054536475210098245,1.4561877,2.0761082,
51,0.672022667798129,0.672022667798129,1.2798987030982971,2.800240457057953,,,1.4414886,2.034328,
52,0.6659042943607677,0.6659042943607677,1.2686540484428406,2.7863975167274475,,,1.4294281,1.998488,
53,0.6566341140053489,0.6566341140053489,1.2579473853111267,2.7739065885543823,,,1.4179555,1.9635657,
54,0.6531064022671093,0.6531064022671093,1.2488641142845154,2.7632649540901184,,,1.4063697,1.9346609,
55,0.6501428159800443,0.6501428159800443,1.2433755695819855,2.75607168674469,,,1.4001443,1.9059488,
56,0.6430013640360399,0.6430013640360399,1.2366715669631958,2.7439284920692444,,,1.392359,1.8844445,
57,0.6344741041010077,0.6344741041010077,1.227738469839096,2.723668873310089,,,1.3835878,1.8577743,
58,0.6359039274129,0.6359039274129,1.2184642255306244,2.710718274116516,,,1.3729247,1.8324866,
59,0.6253887631676414,0.6253887631676414,1.2141531109809875,2.710313558578491,,,1.3661108,1.8144289,
60,0.6208636706525629,0.6208636706525629,1.2057387232780457,2.6953919529914856,,,1.3556994,1.7931577,
61,0.615571143952283,0.615571143952283,1.1973592042922974,2.675688147544861,,,1.3471633,1.7721468,
62,0.6115224794908003,0.6115224794908003,1.194555789232254,2.6686866879463196,,,1.3425375,1.76125,
63,0.6091497784311121,0.6091497784311121,1.1889381110668182,2.6609097123146057,,,1.3332369,1.7382954,
64,0.6031748625365171,0.6031748625365171,1.178020715713501,2.6351335644721985,,,1.3229172,1.7179396,
65,0.5971632085063241,0.5971632085063241,1.1693357825279236,2.612277030944824,,,1.3123245,1.6890717,
